Order_ID,Date,Region,Product,Category,Quantity,Price,Revenue,Customer_Name
5001,2024-01-05,North,Laptop,Electronics,2,55000,110000,Rahul Sharma
5002,01-18-2024,South,Chair,Furniture,4,2500,10000,Anita Verma
5003,2024/02/02,East,Notebook,Stationery,ten,50,500,Rohan Das
5004,2024-02-20,West,Mobile,Electronics,3,20k,60000,Priya Singh
5005,March 10 2024,North,Table,Furniture,1,7000,7000,Amit Kumar
5006,2024-03-22,South,Pen,Stationery,20,20,NaN,Sneha Iyer
5007,2024-04-01,East,Laptop,Electronics,1,60000,60000,Karan Patel
5008,2024-04-15,West,Chair,Furniture,2,3000,6000,Neha Gupta
5009,2024-05-05,North,Notebook,Stationery,15,sixty,900,Arjun Mehta
5010,2024-05-25,South,Mobile,Electronics,2,18000,36000,Meera Nair
5011,2024-06-12,East,Table,Furniture,3,6500,19500,Vikas Rao
5012,2024-06-28,West,Pen,Stationery,30,15,450,Simran Kaur
5013,2024-07-07,North,Laptop,Electronics,1,58000,58000,Deepak Yadav
5014,2024-07-19,South,Chair,Furniture,5,2200,11000,Kavita Joshi
5015,2024-08-03,East,Notebook,Stationery,12,55,660,Aditya Roy
5016,2024-08-21,West,Mobile,Electronics,4,21000,84000,Pooja Mishra
5017,invalid_date,North,Table,Furniture,2,7200,14400,Sanjay Gupta
5018,2024-09-27,South,Pen,Stationery,25,18,450,Ritu Agarwal
5019,2024-10-11,East,Laptop,Electronics,2,57000,wrong,Manish Tiwari
5020,2024-10-30,West,Chair,Furniture,3,2800,8400,Nidhi Kapoor
5021,2024-11-14,North,Notebook,Stationery,18,50,900,Ashok Singh
5022,2024-11-29,South,Mobile,Electronics,1,22000,22000,Divya Menon
5023,2024-12-06,East,Table,Furniture,2,6800,13600,Rajesh Khanna
5024,2024-12-20,West,Pen,Stationery,40,12,480,Alok Srivastava
5025,2025-01-10,North,Laptop,Electronics,1,61000,61000,Shivam Pandey
